text,sense,label,ind,new_label
"in fact , all the grouse flesh had been consumed , and there no longer existed any means of cooking more game .","('mean', 'moyen', 'mediar')",0,17,0
""" oh , monsieur , be assured that i shall be entirely devoted to the person who will give me the means of quitting paris . ""","('mean', 'moyen', 'medio')",1,21,1
""" we have all the necessary materials for making a battery , and the most difficult thing will be to stretch the wires , but by means of a drawplate i think we shall manage it . ""","('mean', 'moyen', 'mediar')",0,26,0
"felton had fallen ; but there was still another step to be taken . he must be retained , or rather he must be left quite alone ; and milady but obscurely perceived the means which could lead to this result .","('mean', 'moyen', 'mediar')",0,34,0
"the engineer corked them by means of a stopper through which passed a glass tube , bored at its lower extremity , and intended to be plunged into the acid by means of a clay stopper secured by a rag .","('mean', 'moyen', 'mediar')",0,31,0
""" independent ! what do you mean , jane ? ""","('mean', 'dire', 'decir')",2,6,2
""" yes , "" continued lord henry , "" that is one of the great secrets of life-- to cure the soul by means of the senses , and the senses by means of the soul . you are a wonderful creation . you know more than you think you know , just as you know less than you want to know . ""","('mean', 'moyen', 'mediar')",0,23,0
"at this time gideon spilett , aided by herbert , took several views of the most picturesque parts of the island , by means of the photographic apparatus found in the cases , and of which they had not as yet made any use .","('mean', 'moyen', 'mediar')",0,23,0
"yes -- yes -- the end is not so difficult ; if i had only a brain active enough to ferret out the means of attaining it . ""","('mean', 'moyen', 'medio')",1,23,1
""" a good idea ! "" i thought with glee . "" i see i have the means of fretting him out of his melancholy for some time to come . ""","('mean', 'moyen', 'mediar')",0,17,0
"so the abraham lincoln was n't lacking in means of destruction . but it had better still . it had ned land , the king of harpooners .","('mean', 'moyen', 'mediar')",0,8,0
"having filled them with water and rendered their edges adhesive by means of a little clay , he thus fabricated a regular burning - glass , which , concentrating the solar rays on some very dry moss , soon caused it to blaze .","('mean', 'moyen', 'mediar')",0,11,0
"on the 25th of february the colonists re - entered granite house , and by means of the double cord , carried by an arrow to the threshold of the door , they re - established communication between their habitation and the ground .","('mean', 'moyen', 'mediar')",0,15,0
""" unless , "" said pencroft , "" our good genius , himself provides us with the means of returning to our country . ""","('mean', 'moyen', 'medio')",1,17,1
""" what do you mean ? ""","('mean', 'dire', 'decir')",2,4,2
""" what do you mean ? "" asked sir francis .","('mean', 'dire', 'decir')",2,4,2
""" how do you mean ? ""","('mean', 'dire', 'decir')",2,4,2
""" sir francis , "" said mr . fogg quietly , "" we will , if you please , look about for some means of conveyance to allahabad . ""","('mean', 'moyen', 'mediar')",0,23,0
"a first horizontal movement to move the piece of wood , a second vertical movement to move the saw -- this was all that was wanted ; and the engineer succeeded by means of a wheel , two cylinders , and pulleys properly arranged .","('mean', 'moyen', 'mediar')",0,32,0
""" i have no doubt , sir , that we shall succeed in establishing ourselves in some business . sir charles 's generosity has given us the means to do so . and now , sir , perhaps i had best show you to your rooms . ""","('mean', 'moyen', 'medio')",1,27,1
"she flushed . "" what do you mean , jim ? "" she asked .","('mean', 'dire', 'decir')",2,7,2
"there were two means of gaining his object -- to search him on the spot , or to carry him away , making a buckler of his body , and search him in the trench .","('mean', 'moyen', 'medio')",1,3,1
""" either the cavern will be completely dry , "" replied harding , "" and in that case we can traverse it on foot , or it will not be dry , and some means of transport will be put at our disposal . ""","('mean', 'moyen', 'mediar')",0,34,0
"arriving at the summit of this peak , captain nemo carefully determined its elevation by means of his barometer , since he had to take this factor into account in his noon sights .","('mean', 'moyen', 'mediar')",0,15,0
"there was no longer any doubt as to the pirates ' intentions . they had dropped anchor at a short distance from the island , and it was evident that the next day by means of their boats they purposed to land on the beach !","('mean', 'moyen', 'mediar')",0,34,0
""" well , "" said porthos , "" it appears to me that the means are very simple . ""","('mean', 'moyen', 'mediar')",0,14,0
fix now decided to make a bold move ; he resolved to tell passepartout all . it seemed to be the only possible means of keeping phileas fogg several days longer at hong kong .,"('mean', 'moyen', 'mediar')",0,23,0
"the end of the bridge which rested on the right bank of the mercy was to be firm , but the other end on the left bank was to be movable , so that it might be raised by means of a counterpoise , as some canal bridges are managed .","('mean', 'moyen', 'mediar')",0,39,0
""" what do you mean ? ""","('mean', 'dire', 'decir')",2,4,2
""" what do you mean ? ""","('mean', 'dire', 'decir')",2,4,2
"dorian did not answer for a few moments . he was dazed with horror . finally he stammered , in a stifled voice , "" harry , did you say an inquest ? what did you mean by that ? did sibyl-- ? oh , harry , i ca n't bear it ! but be quick . tell me everything at once . ""","('mean', 'dire', 'decir')",2,36,2
"milady smiled at this thought , for felton was now her only hope -- her only means of safety .","('mean', 'moyen', 'mediar')",0,16,0
"by means of the diving dress he could easily reach the well in the interior of granite house , and climbing by the projections of rock to its upper orifice he heard the colonists as they recounted the past , and studied the present and future .","('mean', 'moyen', 'mediar')",0,1,0
""" what do you mean ? ""","('mean', 'dire', 'decir')",2,4,2
"the stakes , sharpened at their upper end and hardened by fire , had been fixed by means of cross - bars , and at regular distances props assured the solidity of the whole .","('mean', 'moyen', 'mediar')",0,17,0
"having reached a spot about twenty feet from the edge of the beach , and nearly five hundred feet from the cliff , which rose perpendicularly , harding thrust the pole two feet into the sand , and wedging it up carefully , he managed , by means of the plumb - line , to erect it perpendicularly with the plane of the horizon .","('mean', 'moyen', 'mediar')",0,47,0
""" what do you mean ? ""","('mean', 'dire', 'decir')",2,4,2
"the two horizontal distances were found out by means of the pole , whose length above the sand was exactly ten feet .","('mean', 'moyen', 'mediar')",0,8,0
""" but , some day or other , we shall find means of going away ! ""","('mean', 'moyen', 'mediar')",0,11,0
""" i do n’t know what you mean , nor do i even desire to know what you mean , "" replied the cardinal ; "" but i wish to please you , and see nothing out of the way in giving you what you demand with respect to so infamous a creature -- the more so as you tell me this d’artagnan is a libertine , a duelist , and a traitor . ""","('mean', 'dire', 'decir')",2,18,2
"if the pirates continued to attack them in this way , if they renewed their attempt to land by means of a boat , they could be destroyed one by one .","('mean', 'moyen', 'mediar')",0,19,0
"but by means of a long , thin piece of iron rolled up like the barrel of a gun , pencroft succeeded in making a tube soon ready for use .","('mean', 'moyen', 'mediar')",0,2,0
