,text,sense,label,ind,new_label,wordnet_sense
0,"anne of austria , deprived of the confidence of her husband , pursued by the hatred of the cardinal , who could not pardon her for having repulsed a more tender feeling , having before her eyes the example of the queen - mother whom that hatred had tormented all her life -- though marie de medicis , if the memoirs of the time are to be believed , had begun by according to the cardinal that sentiment which anne of austria always refused him -- anne of austria had seen her most devoted servants fall around her , her most intimate confidants , her dearest favorites . like those unfortunate persons endowed with a fatal gift , she brought misfortune upon everything she touched . her friendship was a fatal sign which called down persecution .","('fall', 'tomber', 'caer')",0,95,0,18
1,""" why did you so awkwardly let it fall ? ""","('fall', 'tomber', 'caer')",0,8,0,
2,"at last , the unfortunate man , weakened by ill - treatment , fell into a prostration so profound that sight and hearing failed him .","('fall', 'tomber', 'caer')",0,13,0,14
3,"this was the appearance of a dirty slip of parchment , which slipped out of the volume and fell upon the floor .","('fall', 'tomber', 'caer')",0,18,0,12
4,""" now then , just as this decision was being handed down , english vessels arrived in the bay of vigo on october 22 , 1702 . despite his inferior forces , admiral de chateau - renault fought courageously . but when he saw that the convoy 's wealth was about to fall into enemy hands , he burned and scuttled the galleons , which went to the bottom with their immense treasures . ""","('fall', 'tomber', 'caer')",0,52,0,30
5,""" the third , then , fell from the clouds , i suppose ? ""","('fall', 'tomber', 'caer')",0,6,0,12
6,"after half an hour of walking , the seafloor grew rocky . jellyfish , microscopic crustaceans , and sea - pen coral lit it faintly with their phosphorescent glimmers . i glimpsed piles of stones covered by a couple million zoophytes and tangles of algae . my feet often slipped on this viscous seaweed carpet , and without my alpenstock i would have fallen more than once . when i turned around , i could still see the nautilus 's whitish beacon , which was starting to grow pale in the distance .","('fall', 'tomber', 'caer')",0,63,0,34
7,"the night was passed under the promontory , and the wind having fallen , nothing disturbed the silence .","('fall', 'tomber', 'caer')",0,12,0,13
8,""" i hope he will fall into proper hands , "" continued the old man . "" he should have a pot of money waiting for him if kelso did the right thing by him . his mother had money , too . all the selby property came to her , through her grandfather . her grandfather hated kelso , thought him a mean dog . he was , too . came to madrid once when i was there . egad , i was ashamed of him . the queen used to ask me about the english noble who was always quarrelling with the cabmen about their fares . they made quite a story of it . i did n't dare show my face at court for a month . i hope he treated his grandson better than he did the jarvies . ""","('fall', 'tomber', 'caer')",0,5,0,15
9,jussac fell like a dead mass .,"('fall', 'tomber', 'caer')",0,1,0,18
10,""" yes , if they fell into infamous hands . but i will answer for these two words being delivered to their address . ""","('fall', 'tomber', 'caer')",0,5,0,15
11,"d’artagnan perceived that it would be disobliging athos not to leave him alone ; and in a few minutes cahusac fell , with a sword thrust through his throat .","('fall', 'tomber', 'caer')",0,20,0,34
12,bicarat was one of those iron men who never fell dead .,"('fall', 'tomber', 'caer')",0,9,0,14
13,"before felton replied , and before she should be forced to resume this conversation , so difficult to be sustained in the same exalted tone , she let her hands fall ; and as if the weakness of the woman overpowered the enthusiasm of the inspired fanatic , she said : "" but no , it is not for me to be the judith to deliver bethulia from this holofernes .","('fall', 'tomber', 'caer')",1,30,0,35
14,"the jaguar collected itself for a spring , but at that moment a shot struck it in the eyes , and it fell dead .","('fall', 'tomber', 'caer')",0,22,0,18
15,athos fell into a profound reverie and answered nothing .,"('fall', 'tomber', 'caer')",0,1,0,14
16,"then milady collected all her energies , murmuring in the depths of her soul the name of felton -- the only beam of light that penetrated to her in the hell into which she had fallen ; and like a serpent which folds and unfolds its rings to ascertain its strength , she enveloped felton beforehand in the thousand meshes of her inventive imagination .","('fall', 'tomber', 'caer')",0,35,0,
17,"at ten o'clock i fell upon my bed , a dead lump of inert matter .","('fall', 'tomber', 'caer')",0,4,0,35
18,"bernajoux now fell , and as the guardsmen were only two against four , they began to cry , "" to the rescue ! the hotel de la tremouille ! ""","('fall', 'tomber', 'caer')",0,2,0,18
19,""" some of that at the bottom , near the laths . there are twenty - five bottles of it left ; all the rest were broken by my fall .","('fall', 'chute', 'caer')",2,29,2,34
20,"d’artagnan was not one of those foolhardy men who seek a ridiculous death in order that it may be said of them that they did not retreat a single step . besides , courage was out of the question here ; d’artagnan had fallen into an ambush .","('fall', 'tomber', 'caer')",0,43,0,14
21,bonacieux fell into a profound reflection . he weighed the two angers in his brain -- that of the cardinal and that of the queen ; that of the cardinal predominated enormously .,"('fall', 'tomber', 'caer')",0,1,0,14
22,"conseil made one final effort , and bracing his hands on my shoulders , while i offered resistance with one supreme exertion , he raised himself half out of the water , then fell back exhausted .","('fall', 'tomber', 'caer')",1,33,0,35
23,it was a fortune which had fallen from the sky .,"('fall', 'tomber', 'caer')",0,6,0,
24,""" meantime , night came on rapidly , and with night my terrors increased . i did not know but i had better remain where i was seated . it appeared that i was surrounded with unknown dangers into which i was about to fall at every instant .","('fall', 'tomber', 'caer')",0,44,0,14
25,"on arriving at the angle of the trench which was to serve them as a rampart , one of the guardsmen fell . a ball had passed through his breast .","('fall', 'tomber', 'caer')",0,21,0,18
26,"the idea of the two soldiers who had abandoned him occurred to his mind , and with them he remembered the assassins of two evenings before . he resolved this time to know with whom he had to deal , and fell upon the body of his comrade as if he were dead .","('fall', 'tomber', 'caer')",0,41,0,34
27,"when they were within ten paces of him , d’artagnan , who in falling had taken care not to let go his sword , sprang up close to them .","('fall', 'tomber', 'caer')",0,13,0,34
28,"as the rochellais who guarded the bastion were ignorant of the intentions of the man they saw coming toward them , they fired upon him , and he fell , struck by a ball which broke his shoulder .","('fall', 'tomber', 'caer')",0,28,0,34
29,"meantime d’artagnan had thrown himself upon the other soldier , attacking him with his sword . the conflict was not long ; the wretch had nothing to defend himself with but his discharged arquebus . the sword of the guardsman slipped along the barrel of the now - useless weapon , and passed through the thigh of the assassin , who fell .","('fall', 'tomber', 'caer')",0,61,0,34
30,""" i wished to make an effort ; i attempted to cry out . by an incredible effort of will i even raised myself up , but only to sink down again immediately , and to fall into the arms of my persecutor . ""","('fall', 'tomber', 'caer')",1,36,0,15
31,"under these conditions the barometer generally stayed quite low . it fell as far as 73.5 centimeters . our compass indications no longer offered any guarantees . the deranged needles would mark contradictory directions as we approached the southern magnetic pole , which does n't coincide with the south pole proper . in fact , according to the astronomer hansteen , this magnetic pole is located fairly close to latitude 70 degrees and longitude 130 degrees , or abiding by the observations of louis - isidore duperrey , in longitude 135 degrees and latitude 70 degrees 30 ' . hence we had to transport compasses to different parts of the ship , take many readings , and strike an average . often we could chart our course only by guesswork , a less than satisfactory method in the midst of these winding passageways whose landmarks change continuously .","('fall', 'tomber', 'caer')",0,11,0,13
32,"he left the box and dice where they fell , threw the purse to the wounded man , and eagerly opened the pocketbook .","('fall', 'tomber', 'caer')",0,8,0,12
33,""" ’ till tomorrow evening , then ! ’ replied i , allowing myself to fall , and biting the carpet with rage . ""","('fall', 'tomber', 'caer')",0,15,0,
34,""" i object , "" i replied . "" we have not fallen into the hands of cannibals . ""","('fall', 'tomber', 'caer')",0,12,0,30
35,"pale , motionless , overwhelmed by this frightful revelation , dazzled by the superhuman beauty of this woman who unveiled herself before him with an immodesty which appeared to him sublime , he ended by falling on his knees before her as the early christians did before those pure and holy martyrs whom the persecution of the emperors gave up in the circus to the sanguinary sensuality of the populace .","('fall', 'tomber', 'caer')",0,35,0,35
36,milady let one of those looks fall upon him which make a slave of a king .,"('fall', 'tomber', 'caer')",0,6,0,
37,"then , falling back on the seat , he murmured a name which gideon spilett alone could hear .","('fall', 'tomber', 'caer')",1,2,0,35
38,""" you are mistaken , my lord , blood will flow ; and may that blood fall back on those who cause it to flow ! ""","('fall', 'tomber', 'caer')",1,16,0,
39,"milady fell down , and seemed to be in a swoon .","('fall', 'tomber', 'caer')",0,1,0,34
40,"after the works of art , natural rarities predominated . they consisted chiefly of plants , shells , and other exhibits from the ocean that must have been captain nemo 's own personal finds . in the middle of the lounge , a jet of water , electrically lit , fell back into a basin made from a single giant clam . the delicately festooned rim of this shell , supplied by the biggest mollusk in the class acephala , measured about six meters in circumference ; so it was even bigger than those fine giant clams given to king françois i by the republic of venice , and which the church of saint - sulpice in paris has made into two gigantic holy - water fonts .","('fall', 'tomber', 'caer')",1,50,0,
41,""" i , monseigneur ? "" said athos . "" i did not even draw my sword , but i took him who offended me round the body , and threw him out of the window . it appears that in falling , "" continued athos , with some hesitation , "" he broke his thigh . ""","('fall', 'tomber', 'caer')",0,41,0,12
42,"in order to facilitate the descent , hans wound his way down the cone by a spiral path . our route lay amidst eruptive rocks , some of which , shaken out of their loosened beds , rushed bounding down the abyss , and in their fall awoke echoes remarkable for their loud and well - defined sharpness .","('fall', 'chute', 'caer')",2,46,2,
43,"he fired his revolver , and two of the convicts fell , but a blow from a knife which he could not ward off made a gash in his shoulder .","('fall', 'tomber', 'caer')",0,10,0,18
44,"our full electric power was then put on the pumps , which instantly began to expel water from the ballast tanks . after a few minutes we had checked our fall . the pressure gauge soon indicated an ascending movement . brought to full speed , the propeller made the sheet - iron hull tremble down to its rivets , and we sped northward .","('fall', 'chute', 'caer')",2,30,2,
45,"the steamer lay puffing alongside the quay , on the point of starting . passepartout had but few steps to go ; and , rushing upon the plank , he crossed it , and fell unconscious on the deck , just as the carnatic was moving off . several sailors , who were evidently accustomed to this sort of scene , carried the poor frenchman down into the second cabin , and passepartout did not wake until they were one hundred and fifty miles away from china . thus he found himself the next morning on the deck of the carnatic , and eagerly inhaling the exhilarating sea - breeze . the pure air sobered him . he began to collect his sense , which he found a difficult task ; but at last he recalled the events of the evening before , fix 's revelation , and the opium - house .","('fall', 'tomber', 'caer')",0,34,0,14
46,here i fell twice ; but as often i rose and rallied my faculties .,"('fall', 'tomber', 'caer')",0,2,0,17
47,"it was passepartout 's fault . abandoning his position , clearing the footlights without the aid of his wings , and , clambering up to the right - hand gallery , he fell at the feet of one of the spectators , crying , "" ah , my master ! my master ! ""","('fall', 'tomber', 'caer')",0,32,0,35
48,"his hand shook , and the candle fell from its socket on the floor and lay there sputtering . he placed his foot on it and put it out . then he flung himself into the rickety chair that was standing by the table and buried his face in his hands .","('fall', 'tomber', 'caer')",0,7,0,12
49,"and letting fall his cloak and raising his hat , he advanced toward milady .","('fall', 'tomber', 'caer')",0,2,0,12
50,"ayrton 's and gideon spilett 's rifles then spoke , and no doubt imparted some very disagreeable intelligence to two of the convicts , for they fell backwards .","('fall', 'tomber', 'caer')",0,26,0,18
51,""" it is not madame bonacieux about whom i am anxious , "" cried d’artagnan , "" but the queen , whom the king abandons , whom the cardinal persecutes , and who sees the heads of all her friends fall , one after the other . ""","('fall', 'tomber', 'caer')",0,40,0,12
52,at the third hit the gentleman fell like a log .,"('fall', 'tomber', 'caer')",0,6,0,34
53,""" he shall . i will see to that . uncle and nephew have been murdered -- the one frightened to death by the very sight of a beast which he thought to be supernatural , the other driven to his end in his wild flight to escape from it . but now we have to prove the connection between the man and the beast . save from what we heard , we can not even swear to the existence of the latter , since sir henry has evidently died from the fall . but , by heavens , cunning as he is , the fellow shall be in my power before another day is past ! ""","('fall', 'chute', 'caer')",2,92,2,12
54,"mount franklin was now hooded by a somber cloud of sinister aspect , and , amid the flames , vomiting forth incandescent rocks , some of which fell back into the crater itself .","('fall', 'tomber', 'caer')",1,27,0,12
55,""" why , dr . watson , that 's not you , is it ? you are the last man that i should have expected to see out on the moor at this time of night . but , dear me , what 's this ? somebody hurt ? not -- don't tell me that it is our friend sir henry ! "" he hurried past me and stooped over the dead man . i heard a sharp intake of his breath and the cigar fell from his fingers .","('fall', 'tomber', 'caer')",0,85,0,12
56,""" he appears to have broken his neck by falling over these rocks . my friend and i were strolling on the moor when we heard a cry . ""","('fall', 'tomber', 'caer')",0,9,0,12
57,"cyrus harding and ayrton had scarcely reached the corral when a sort of black snow like fine gunpowder fell , and instantly changed the appearance of the soil .","('fall', 'tomber', 'caer')",0,18,0,16
58,"trains , like time and tide , stop for no one . the gentleman who uttered the cries was evidently a belated mormon . he was breathless with running . happily for him , the station had neither gates nor barriers . he rushed along the track , jumped on the rear platform of the train , and fell , exhausted , into one of the seats .","('fall', 'tomber', 'caer')",0,58,0,35
59,"pillars of smoke and flame escaped from the crater ; a hail of scoriae fell on the ground ; but no current of lava burst from the mouth of the volcano , which proved that the volcanic matter had not yet attained the level of the superior orifice of the central shaft .","('fall', 'tomber', 'caer')",0,14,0,16
60,at last i failed utterly ; i uttered a cry and fell .,"('fall', 'tomber', 'caer')",0,11,0,
61,"he approached the duke , took his hand , held it for an instant in his own , and letting it fall , "" all is useless , "" said he , "" he is dead . ""","('fall', 'tomber', 'caer')",1,21,0,13
62,"after nightfall the storm grew in intensity . as in the 1860 cyclone on réunion island , the barometer fell to 710 millimeters . at the close of day , i saw a big ship passing on the horizon , struggling painfully . it lay to at half steam in an effort to hold steady on the waves . it must have been a steamer on one of those lines out of new york to liverpool or le havre . it soon vanished into the shadows .","('fall', 'tomber', 'caer')",0,19,0,13
63,"one was hit by the lad , and fell into some marshy grass .","('fall', 'tomber', 'caer')",0,8,0,34
64,"d’artagnan , who had his eyes fixed upon this man , became very pale , and let his glass fall .","('fall', 'tomber', 'caer')",0,19,0,12
65,"a cold rain began to fall , and the blurred street - lamps looked ghastly in the dripping mist . the public- houses were just closing , and dim men and women were clustering in broken groups round their doors . from some of the bars came the sound of horrible laughter . in others , drunkards brawled and screamed .","('fall', 'tomber', 'caer')",0,5,0,16
66,"the baron , finding himself disarmed , took two or three steps back , but in this movement his foot slipped and he fell backward .","('fall', 'tomber', 'caer')",0,23,0,34
67,already a torrent of burning matter and liquefied minerals fell from the side of the mountain upon the meadows as far as the side of the palisade .,"('fall', 'tomber', 'caer')",0,9,0,16
