,text,sense,label,ind,new_label,wordnet_sense
0,i returned to the seminary .,"('return', 'rentrer', 'volver')",0,1,0,13
1,"i gave her one , they gave him two , you gave us three or more ; they all returned from him to you , though they were mine before .","('return', 'revenir', 'volver')",1,19,1,14
2,"miss temple got up , took her hand and examined her pulse ; then she returned to her own seat : as she resumed it , i heard her sigh low .","('return', 'retourner', 'volver')",2,15,2,13
3,"' but , it goes on "" they all returned from him to you , "" ' said alice .","('return', 'revenir', 'volver')",1,9,1,
4,"no , for a moment before he was dreading their return .","('return', 'retour', 'volver')",3,10,3,2
5,"the colonists , a prey to a thousand confused thoughts , under the influence of violent excitement , waited all night , without leaving ayrton 's house , or returning to the spot where lay the bodies of the convicts .","('return', 'retourner', 'volver')",2,29,2,13
6,"a half hour afterward , d’artagnan returned with the two thousand livres , and without having met with any accident .","('return', 'revenir', 'volver')",1,6,1,13
7,"the communication was thus established between the two poles ; the current , starting from the positive pole , traversed the wire , passed through the magnet which was temporarily magnetized , and returned through the earth to the negative pole .","('return', 'revenir', 'volver')",1,33,1,
8,""" oh , from some heartbroken waiting woman , some desponding grisette ; from madame de chevreuse ’s chambermaid , perhaps , who was obliged to return to tours with her mistress , and who , in order to appear smart and attractive , stole some perfumed paper , and sealed her letter with a duchess ’s coronet . ""","('return', 'retourner', 'volver')",2,26,2,13
9,""" she was forced to return to tours ; she is not faithless ; she still loves me !","('return', 'retourner', 'volver')",2,5,2,
10,but in the meantime i would have to look for this narwhale in the northern pacific ocean ; which meant returning to france by way of the antipodes .,"('return', 'revenir', 'volver')",4,20,1,13
11,""" and we will not return to granite house until we have found our benefactor , "" said herbert .","('return', 'rentrer', 'volver')",0,5,0,15
12,"i waited now his return ; eager to disburthen my mind , and to seek of him the solution of the enigma that perplexed me .","('return', 'retour', 'volver')",5,4,3,2
13,""" captain , "" said the sailor , "" since you are speaking of game , if on my return , i was as certain of roasting it as i am of bringing it back-- ""","('return', 'retour', 'volver')",3,19,3,1
14,""" if , on my return , i find a fire at the house , i shall believe that the thunder itself came to light it . ""","('return', 'retour', 'volver')",3,5,3,1
15,"the canadian returned to conseil 's side . as soon as i was dressed , i went into the lounge . the compass was n't encouraging . the nautilus 's course was south - southwest . we were turning our backs on europe .","('return', 'retourner', 'volver')",2,2,2,
16,"i was not reprimanded for leaving my bed ; people had something else to think about ; no explanation was afforded then to my many questions ; but a day or two afterwards i learned that miss temple , on returning to her own room at dawn , had found me laid in the little crib ; my face against helen burns 's shoulder , my arms round her neck .","('return', 'rentrer', 'volver')",0,40,0,13
17,"even the couroucous were invisible , and it was probable that the sailor would be obliged to return to the marshy part of the forest , in which he had so happily performed his grouse fishing .","('return', 'revenir', 'volver')",1,17,1,13
18,""" have patience , "" replied the sailor , "" it is n't the game which will be wanting on our return . ""","('return', 'retour', 'volver')",3,21,3,1
19,""" well ! "" answered pencroft , "" i agree with you that the nobleman will return , and soon too .","('return', 'revenir', 'volver')",1,16,1,13
20,"near the louvre the four friends met with m. de treville , who was returning from st . germain ; he stopped them to offer his compliments upon their appointments , which in an instant drew round them a hundred gapers .","('return', 'revenir', 'volver')",1,14,1,13
21,""" at that time we did not know ayrton 's history ; we did not know that any one was likely to come some day to fetch him , and when we did know his history , the season was too advanced to allow us to return then to tabor island . ""","('return', 'retourner', 'volver')",2,46,2,13
