,text,sense,label,ind,new_label,wordnet_sense
0,""" it ca n't be a coincidence , "" he cried , at last springing from his chair and pacing wildly up and down the room ; "" it is impossible that it should be a mere coincidence . the very pills which i suspected in the case of drebber are actually found after the death of stangerson . and yet they are inert . what can it mean ? surely my whole chain of reasoning can not have been false . it is impossible ! and yet this wretched dog is none the worse . ah , i have it ! i have it ! ""","('cry', 'écrier', 'exclamar')",1,10,0,7
1,""" how ? you refuse ? "" cried the cardinal , with astonishment .","('cry', 'écrier', 'exclamar')",0,7,0,7
2,""" and prepare our second corn - field ! "" cried the sailor with a triumphant air .","('cry', 'écrier', 'exclamar')",0,10,0,7
3,"the unfortunate woman was exhausted , not by fatigue , but by terror , and when d’artagnan placed his hand upon her shoulder , she sank upon one knee , crying in a choking voice , "" kill me , if you please , you shall know nothing ! ""","('cry', 'écrier', 'exclamar')",1,30,0,
4,""" do that , "" cried she , "" and you will have saved my life , you will have saved my honor ! ""","('cry', 'écrier', 'exclamar')",0,5,0,7
5,""" withdraw , young man , "" cried jussac , who doubtless , by his gestures and the expression of his countenance , had guessed d’artagnan ’s design .","('cry', 'écrier', 'exclamar')",1,7,0,7
6,"but he had scarcely looked at it , when he uttered a cry , and the glass almost fell from his hands .","('cry', 'cri', 'gritar')",2,12,2,
7,""" presently , presently , "" cried the latter , "" when you have n’t your cloak on . ""","('cry', 'écrier', 'exclamar')",1,6,0,7
8,""" hans , to work ! "" cried my uncle .","('cry', 'écrier', 'exclamar')",0,7,0,7
9,""" stand on one side , d’artagnan , stand on one side , "" cried athos . "" i am going to fire ! ""","('cry', 'écrier', 'exclamar')",1,14,0,7
10,"at the cry uttered by the duke and the scream of patrick , the man whom felton had met in the antechamber rushed into the chamber .","('cry', 'cri', 'gritar')",2,2,2,0
11,""" who goes there ? "" cried he , as soon as he perceived the horsemen .","('cry', 'écrier', 'exclamar')",1,6,0,7
12,""" there are two ways out of the room , "" cried ferrier ; "" there is the door , and there is the window . which do you care to use ? ""","('cry', 'écrier', 'exclamar')",1,11,0,7
13,"a cry of disappointment , almost a cry of despair , escaped them !","('cry', 'cri', 'gritar')",2,1,2,1
14,""" oh , saved , saved ! "" cried she .","('cry', 'écrier', 'exclamar')",0,8,0,7
15,"felton uttered a cry , and rushed toward her . he was too late ; milady had stabbed herself .","('cry', 'cri', 'gritar')",2,3,2,0
16,""" and one for me -- the best for last ! "" cried d’artagnan , furious , nailing him to the earth with a fourth thrust through his body .","('cry', 'écrier', 'exclamar')",0,12,0,7
17,he had walked as one walks in a dream ; he had a glimpse of objects as through a fog . his ears had perceived sounds without comprehending them ; he might have been executed at that moment without his making a single gesture in his own defense or uttering a cry to implore mercy .,"('cry', 'cri', 'gritar')",2,51,2,0
18,""" nine from seven , "" cried the sentinel .","('cry', 'écrier', 'exclamar')",1,6,0,7
19,""" oh , unhappy woman ! "" cried the commissary . "" how ?","('cry', 'écrier', 'exclamar')",0,7,0,7
20,""" ah , porthos ! "" cried one of his companions , "" do n’t try to make us believe you obtained that baldric by paternal generosity . it was given to you by that veiled lady i met you with the other sunday , near the gate st . honor . ""","('cry', 'écrier', 'exclamar')",0,6,0,7
21,""" why , captain , "" cried herbert , "" that fire was blazing like a star of the first magnitude ! ""","('cry', 'écrier', 'exclamar')",0,6,0,7
22,""" oh , do not kill me ! "" cried the bandit . "" pardon , pardon , my officer , and i will tell you all . ""","('cry', 'écrier', 'exclamar')",0,9,0,7
23,""" d’artagnan , d’artagnan ! "" cried she ; "" remember that i loved you ! ""","('cry', 'écrier', 'exclamar')",1,6,0,7
24,""" stay , monsieur , "" cried passepartout ; "" i will go . ""","('cry', 'écrier', 'exclamar')",1,6,0,7
25,""" good lord , how quickly men forget ! "" cried the procurator ’s wife , raising her eyes toward heaven .","('cry', 'écrier', 'exclamar')",0,10,0,7
