,Unnamed: 0,text,sense,label,ind,new_label,wordnet_sense
0,0,"after this event , and during all the time that the colonists , detained by herbert 's illness , remained in the corral , the pirates did not leave their cavern , and even after they had pillaged the plateau of prospect heights , they did not think it prudent to abandon it .","('remain', 'rester', 'permanecer')",0,19,2,1.0
1,1,"at the sight of the little letter the heart of d’artagnan bounded , for he believed he recognized the handwriting , and although he had seen that writing but once , the memory of it remained at the bottom of his heart .","('remain', 'rester', 'quedar')",1,35,1,3.0
2,2,"for a few minutes he remained absorbed in thought ; then again speaking,--","('remain', 'rester', 'permanecer')",0,5,2,0.0
3,3,"felton , as pale as death , remained some instants with his ear bent and listening ; then , when the sound was quite extinct , he breathed like a man awaking from a dream , and rushed out of the apartment .","('remain', 'rester', 'permanecer')",2,7,2,0.0
4,4,"this document remained locked in my drawer all day : after tea , i asked leave of the new superintendent to go to lowton , in order to perform some small commissions for myself and one or two of my fellow - teachers ; permission was readily granted ; i went .","('remain', 'rester', 'permanecer')",2,2,2,0.0
5,5,"this excess of bilious humor could not be attributed to play ; for unlike porthos , who accompanied the variations of chance with songs or oaths , athos when he won remained as unmoved as when he lost .","('remain', 'rester', 'permanecer')",0,31,2,0.0
6,6,"but although her voice -- sweet , full , and sonorous -- vibrated as harmoniously and as affectingly as ever , the door remained shut .","('remain', 'rester', 'permanecer')",2,23,2,0.0
7,7,"neb and harding also ran up , and they remained for some instants contemplating the animal as it lay stretched on the ground , thinking that its magnificent skin would be a great ornament to the hall at granite house .","('remain', 'rester', 'permanecer')",2,9,2,0.0
8,8,"on her side mme . bonacieux had also reflected ; but , it must be admitted , upon something widely different from ambition . in spite of herself her thoughts constantly reverted to that handsome young man who was so brave and appeared to be so much in love . married at eighteen to m. bonacieux , having always lived among her husband ’s friends -- people little capable of inspiring any sentiment whatever in a young woman whose heart was above her position -- mme . bonacieux had remained insensible to vulgar seductions ; but at this period the title of gentleman had great influence with the citizen class , and d’artagnan was a gentleman . besides , he wore the uniform of the guards , which next to that of the musketeers was most admired by the ladies .","('remain', 'rester', 'permanecer')",2,89,2,0.0
9,9,the southern coast of the island still remained to be explored .,"('remain', 'rester', 'quedar')",1,7,1,0.0
10,10,""" the boat has remained by itself for one day at the sources of the mercy , "" replied gideon spilett ; "" it may just as well stay there two days !","('remain', 'rester', 'quedar')",1,4,1,0.0
11,11,""" listen , "" replied felton , in a low voice . "" i have just sent away the sentinel that i might remain here without anybody knowing it , in order to speak to you without being overheard .","('remain', 'rester', 'permanecer')",2,23,2,1.0
12,12,"there fermented in that sublimated brain plans so vast , projects so tumultuous , that there remained no room for any capricious or material love -- that sentiment which is fed by leisure and grows with corruption .","('remain', 'rester', 'quedar')",1,16,1,0.0
13,13,"d’artagnan remained , therefore , alone ; and as he declared he was too ignorant of the game to play it regularly they only continued giving balls to one another without counting .","('remain', 'rester', 'quedar')",1,1,1,0.0
14,14,"of the important cities given up by henry iv to the huguenots as places of safety , there only remained la rochelle .","('remain', 'rester', 'quedar')",1,19,1,1.0
15,15,"d’artagnan remained all day in his quarters , assigning as a reason to himself that the weather was bad .","('remain', 'rester', 'permanecer')",2,1,2,1.0
16,16,cyrus harding and his companions remained an hour at the top of the mountain .,"('remain', 'rester', 'permanecer')",0,5,2,1.0
17,17,"one important question remained to be solved , and the answer would have a great effect upon the future of the castaways .","('remain', 'rester', 'quedar')",1,3,1,2.0
18,18,"there remained the guide : what course would he adopt ? would he not take part with the indians ? in default of his assistance , it was necessary to be assured of his neutrality .","('remain', 'rester', 'quedar')",1,1,1,2.0
19,19,""" only i concealed a glass of water , which remained after my breakfast , thirst having been the chief of my sufferings when i remained forty - eight hours without eating or drinking .","('remain', 'rester', 'permanecer')",0,25,2,0.0
