English,French,Spanish
Source: Project Gutenberg,Source: Project Gutenberg,Source: http://librosgratis.liblit.com/Translation: Joaquín Gallardo (?)
THE MYSTERIOUS ISLAND,L'île mystérieuse,La isla misteriosa
Jules Verne,Jules Verne,JULIO VERNE
PART 1--DROPPED FROM THE CLOUDS,PARTIE 1 LES NAUFRAGÉS DE L'AIR,1. LOS NAUFRAGOS DEL AIRE
Chapter 1,CHAPITRE I,1. Un globo a la deriva
"""Are we rising again?""",«Remontons-nous?,-¿Remontamos?
"""No. On the contrary."" ""Are we descending?""",-- Non! Au contraire! Nous descendons!,"-¡No, al contrario, descendemos!"
"""Worse than that, captain! we are falling!""","-- Pis que cela, monsieur Cyrus!","-¡Mucho peor, señor Ciro!"
"""For Heaven's sake heave out the ballast!""",Nous tombons! -- Pour Dieu!,¡Caemos! -¡Vive Dios!
"""There! the last sack is empty!"" ""Does the balloon rise?"" ""No!""",Jetez du lest! -- Voilà le dernier sac vidé! -- Le ballon se relève-t-il? -- Non! -- J'entends comme un clapotement de vagues!,¡Arrojad lastre! –Ya se ha vaciado el último saco. –¿Se vuelve a elevar el globo? –No.
"""I hear a noise like the dashing of waves. The sea is below the car!",-- La mer est sous la nacelle! -- Elle ne doit pas être à cinq cents pieds de nous!»,–¡Oigo un ruido de olas! –¡El mar está debajo de la barquilla!
"It cannot be more than 500 feet from us!"" ""Overboard with every weight! ... everything!""","Alors une voix puissante déchira l'air, et ces mots retentirent: «Dehors tout ce qui pèse!... tout! et à la grâce de Dieu!»",–¡Y a unos quinientos pies! Entonces una voz potente rasgó los aires y resonaron estas palabras: –¡Fuera todo lo que pesa! ¡Todo!
"Such were the loud and startling words which resounded through the air, above the vast watery desert of the Pacific, about four o'clock in the evening of the 23rd of March, 1865.","Telles sont les paroles qui éclataient en l'air, au-dessus de ce vaste désert d'eau du Pacifique, vers quatre heures du soir, dans la journée du 23 mars 1865.","¡Sea lo que Dios quiera! Estas palabras resonaron en el aire sobre el vasto desierto de agua del Pacífico, hacia las cuatro de la tarde del día 23 de marzo de 1865."
"Few can possibly have forgotten the terrible storm from the northeast, in the middle of the equinox of that year.","Personne n'a sans doute oublié le terrible coup de vent de nord- est qui se déchaîna au milieu de l'équinoxe de cette année, et pendant lequel le baromètre tomba à sept cent dix millimètres.",Seguramente nadie ha olvidado el terrible viento del nordeste que se desencadenó en el equinoccio de aquel año y durante el cual el barómetro bajó setecientos diez milímetros.
The tempest raged without intermission from the 18th to the 26th of March.,"Ce fut un ouragan, sans intermittence, qui dura du 18 au 26 mars.","Fue un huracán sin intermitencia, que duró del 18 al 26 de marzo."
"Its ravages were terrible in America, Europe, and Asia, covering a distance of eighteen hundred miles, and extending obliquely to the equator from the thirty-fifth north parallel to the fortieth south parallel.","Les ravages qu'il produisit furent immenses en Amérique, en Europe, en Asie, sur une zone large de dix-huit cents milles, qui se dessinait obliquement à l'équateur, depuis le trente-cinquième parallèle nord jusqu'au quarantième parallèle sud!","Produjo daños inmensos en América, en Europa, en Asia, en una ancha zona de 1.800 millas, que se extendió en dirección oblicua al Ecuador, desde el trigésimo quinto paralelo norte hasta el cuadragésimo paralelo sur."
"Towns were overthrown, forests uprooted, coasts devastated by the mountains of water which were precipitated on them, vessels cast on the shore, which the published accounts numbered by hundreds, whole districts leveled by waterspouts which destroyed everything they passed over, several thousand people crushed on land or drowned at sea; such were the traces of its fury, left by this devastating tempest.","Villes renversées, forêts déracinées, rivages dévastés par des montagnes d'eau qui se précipitaient comme des mascarets, navires jetés à la côte, que les relevés du Bureau-Veritas chiffrèrent par centaines, territoires entiers nivelés par des trombes qui broyaient tout sur leur passage, plusieurs milliers de personnes écrasées sur terre ou englouties en mer: tels furent les témoignages de sa fureur, qui furent laissés après lui par ce formidable ouragan.","Ciudades destruidas, bosques desarraigados, países devastados por montañas de agua que se precipitaban como aludes, naves arrojadas a la costa, que los registros del Bureau–Veritas anotaron por centenares, territorios enteros nivelados por las trombas que arrollaban todo lo que encontraban a su paso, muchos millares de personas aplastadas o tragadas por el mar; tales fueron los testimonios que dejó de su furor aquel huracán, que fue muy superior en desastres a los que asolaron tan espantosamente La Habana y Guadalupe, uno el 25 de octubre de 1810, otro el 26 de julio de 1825."
"But while so many catastrophes were taking place on land and at sea, a drama not less exciting was being enacted in the agitated air.","Or, au moment même où tant de catastrophes s'accomplissaient sur terre et sur mer, un drame, non moins saisissant, se jouait dans les airs bouleversés.","Al mismo tiempo en que tantas catástrofes sobrevenían en la tierra y en el mar, un drama no menos conmovedor se presentaba en los agitados aires."
"In fact, a balloon, as a ball might be carried on the summit of a waterspout, had been taken into the circling movement of a column of air and had traversed space at the rate of ninety miles an hour, turning round and round as if seized by some aerial maelstrom.","En effet, un ballon, porté comme une boule au sommet d'une trombe, et pris dans le mouvement giratoire de la colonne d'air, parcourait l'espace avec une vitesse de quatre- vingt-dix milles à l'heure, en tournant sur lui-même, comme s'il eût été saisi par quelque maelström aérien.","En efecto, un globo, llevado como una bola por una tromba, y envuelto en el movimiento giratorio de la columna de aire, recorría el espacio con una velocidad de noventa millas por hora, girando sobre sí mismo, como si se hubiera apoderado de él algún maelstrom aéreo."
"Beneath the lower point of the balloon swung a car, containing five passengers, scarcely visible in the midst of the thick vapor mingled with spray which hung over the surface of the ocean.","Au-dessous de l'appendice inférieur de ce ballon oscillait une nacelle, qui contenait cinq passagers, à peine visibles au milieu de ces épaisses vapeurs, mêlées d'eau pulvérisée, qui traînaient jusqu'à la surface de l'Océan.","Debajo de aquel globo oscilaba una barquilla, que contenía cinco pasajeros, casi invisibles en medio de aquellos espesos vapores, mezclados de agua pulverizada, que se prolongaban hasta las superficies del océano."
"Whence, it may be asked, had come that plaything of the tempest?","D'où venait cet aérostat, véritable jouet de l'effroyable tempête?","¿De dónde venía aquel aerostato, verdadero juguete de la tempestad?"
From what part of the world did it rise?,De quel point du monde s'était-il élancé?,¿En qué punto del mundo había sido lanzado?
"It surely could not have started during the storm. But the storm had raged five days already, and the first symptoms were manifested on the 18th.","Il n'avait évidemment pas pu partir pendant l'ouragan. Or, l'ouragan durait depuis cinq jours déjà, et ses premiers symptômes s'étaient manifestés le 18.","Evidentemente no había podido elevarse durante el huracán; pero el huracán duraba desde hacía cinco días, y sus primeros síntomas se manifestaron el 18."
"It cannot be doubted that the balloon came from a great distance, for it could not have traveled less than two thousand miles in twenty-four hours. At any rate the passengers, destitute of all marks for their guidance, could not have possessed the means of reckoning the route traversed since their departure.","On eût donc été fondé à croire que ce ballon venait de très loin, car il n'avait pas dû franchir moins de deux mille milles par vingt-quatre heures? en tout cas, les passagers n'avaient pu avoir à leur disposition aucun moyen d'estimer la route parcourue depuis leur départ, car tout point de repère leur manquait.","Así, pues, era lícito creer que aquel globo venía de muy lejos, porque no había recorrido menos de dos mil millas en veinticuatro horas. En todo caso, los pasajeros no habían tenido medios para calcular la ruta recorrida desde su partida, porque no tenían punto alguno de comparación."
"It was a remarkable fact that, although in the very midst of the furious tempest, they did not suffer from it.","Il devait même se produire ce fait curieux, qu'emportés au milieu des violences de la tempête, ils ne les subissaient pas.","Debió producirse el curioso hecho de que, arrastrados por la violencia de la tempestad, no lo sintieron."
"They were thrown about and whirled round and round without feeling the rotation in the slightest degree, or being sensible that they were removed from a horizontal position.","Ils se déplaçaient, ils tournaient sur eux-mêmes sans rien ressentir de cette rotation, ni de leur déplacement dans le sens horizontal.","Cambiaban de lugar y giraban sobre sí mismos, sin darse cuenta de esta rotación, ni de su movimiento en sentido horizontal."
Their eyes could not pierce through the thick mist which had gathered beneath the car.,Leurs yeux ne pouvaient percer l'épais brouillard qui s'amoncelait sous la nacelle.,Sus ojos no podían penetrar la espesa niebla que se amontonaba bajo la navecilla.
Dark vapor was all around them.,"Autour d'eux, tout était brume.",Alrededor de ellos todo era bruma.
Such was the density of the atmosphere that they could not be certain whether it was day or night.,"Telle était même l'opacité des nuages, qu'ils n'auraient pu dire s'il faisait jour ou nuit.","Tal era la opacidad de las nubes, que no hubieran podido decir si era de día o de noche."
"No reflection of light, no sound from inhabited land, no roaring of the ocean could have reached them, through the obscurity, while suspended in those elevated zones.","Aucun reflet de lumière, aucun bruit des terres habitées, aucun mugissement de l'Océan n'avaient dû parvenir jusqu'à eux dans cette immensité obscure, tant qu'ils s'étaient tenus dans les hautes zones.","Ningún reflejo de luz, ningún ruido de tierras habitadas, ningún mugido del océano había llegado hasta ellos en aquella oscura inmensidad, mientras se habían sostenido en las altas zonas."
Their rapid descent alone had informed them of the dangers which they ran from the waves.,Leur rapide descente avait seule pu leur donner connaissance des dangers qu'ils couraient au-dessus des flots.,Sólo su rápido descenso había podido darles conocimiento de los peligros que corrían encima de las olas.
"However, the balloon, lightened of heavy articles, such as ammunition, arms, and provisions, had risen into the higher layers of the atmosphere, to a height of 4,500 feet.","Cependant, le ballon, délesté de lourds objets, tels que munitions, armes, provisions, s'était relevé dans les couches supérieures de l'atmosphère, à une hauteur de quatre mille cinq cents pieds.","No obstante, el globo, libre de pesados objetos, tales como municiones, armas, provisiones, se había elevado hasta las capas superiores de la atmósfera a una altura de cuatro mil quinientos pies."
"The voyagers, after having discovered that the sea extended beneath them, and thinking the dangers above less dreadful than those below, did not hesitate to throw overboard even their most useful articles, while they endeavored to lose no more of that fluid, the life of their enterprise, which sustained them above the abyss.","Les passagers, après avoir reconnu que la mer était sous la nacelle, trouvant les dangers moins redoutables en haut qu'en bas, n'avaient pas hésité à jeter par-dessus le bord les objets même les plus utiles, et ils cherchaient à ne plus rien perdre de ce fluide, de cette âme de leur appareil, qui les soutenait au-dessus de l'abîme.","Los pasajeros, después de haber reconocido que el mar estaba bajo la barquilla, encontrando los peligros menos temibles arriba que abajo, no habían vacilado en arrojar por la borda los objetos más útiles, y tratando de no perder nada de aquel fluido, de aquella alma de su aparato, que les sostenía sobre el abismo."
The night passed in the midst of alarms which would have been death to less energetic souls.,La nuit se passa au milieu d'inquiétudes qui auraient été mortelles pour des âmes moins énergiques.,Transcurrió la noche en medio de inquietudes que hubieran sido mortales para otras almas menos templadas.
Again the day appeared and with it the tempest began to moderate.,"Puis le jour reparut, et, avec le jour, l'ouragan marqua une tendance à se modérer.",Llegó después el día y con el día el huracán mostró tendencia a moderarse.
"From the beginning of that day, the 24th of March, it showed symptoms of abating.","Dès le début de cette journée du 24 mars, il y eut quelques symptômes d'apaisement.","Desde el principio de aquel día, 24 de marzo, hubo algunos síntomas de calma."
"At dawn, some of the lighter clouds had risen into the more lofty regions of the air.","À l'aube, les nuages, plus vésiculaires, étaient remontés dans les hauteurs du ciel.","Al alba, las nubes más vesiculares habían remontado hasta las alturas del cielo."
"In a few hours the wind had changed from a hurricane to a fresh breeze, that is to say, the rate of the transit of the atmospheric layers was diminished by half.","Le vent, de l'état d'ouragan, passa au «grand frais», c'est-à-dire que la vitesse de translation des couches atmosphériques diminua de moitié.","El viento, del estado de huracán, pasó al gran fresco, es decir, que la celeridad de traslación de las capas atmosféricas disminuyó la mitad."
"It was still what sailors call ""a close-reefed topsail breeze,"" but the commotion in the elements had none the less considerably diminished.","C'était encore ce que les marins appellent «une brise à trois ris», mais l'amélioration dans le trouble des éléments n'en fut pas moins considérable.","Era aún lo que los marinos llaman “una brisa a tres rizos”, pero la mejoría en el desorden de los elementos no fue menos considerable."
