Lemma,Occurences
the,45760
be,27060
of,20802
and,20182
to,19817
-PRON-,19543
a,15320
have,11288
in,11078
that,8695
not,6762
with,5776
as,5078
at,4968
for,4829
but,4799
this,4669
on,4664
which,4458
say,4209
do,3884
by,3850
from,3319
will,2664
all,2549
no,2489
would,2487
an,2363
then,2246
so,2133
if,2124
one,2059
go,1963
or,1930
see,1902
could,1879
make,1742
's,1670
take,1595
when,1570
well,1533
know,1527
man,1525
some,1466
d’Artagnan,1443
come,1433
these,1433
now,1376
time,1351
reply,1349
more,1328
out,1284
day,1282
into,1273
two,1272
up,1254
may,1223
very,1216
only,1211
like,1191
can,1102
think,1091
give,1073
leave,1048
than,1040
Pencroft,1032
must,1005
hand,985
without,974
find,973
look,966
Athos,940
little,925
other,923
about,918
after,904
good,898
before,895
ask,890
how,865
yes,857
over,845
any,839
tell,836
Harding,831
first,828
sea,816
still,816
eye,809
long,805
place,802
water,801
cry,789
should,784
such,776
where,757
de,749
upon,748
great,746
return,736
there,722
hear,718
here,716
shall,713
friend,711
word,694
pass,685
Milady,685
much,673
appear,668
never,666
Mr.,664
hour,663
Herbert,663
again,656
three,652
Captain,649
down,647
even,647
just,635
those,628
let,627
open,612
under,598
door,592
back,583
Cyrus,582
’s,579
turn,577
yet,573
Porthos,572
engineer,572
speak,568
young,565
through,559
soon,558
feel,550
island,546
last,546
head,545
way,543
foot,543
moment,540
get,538
answer,535
woman,534
Nemo,533
too,526
name,523
seem,522
part,522
wish,518
night,518
cardinal,515
off,510
light,510
Aramis,505
while,503
captain,483
put,482
Conseil,480
order,479
love,477
follow,472
companion,472
few,471
want,470
fall,467
become,465
four,463
life,460
same,456
whose,456
Monsieur,454
away,452
keep,450
Ned,450
once,450
sir,449
Nautilus,448
Spilett,445
half,443
room,442
sailor,442
most,441
oh,438
because,435
bring,435
thing,432
right,431
point,431
rise,428
believe,428
between,423
perhaps,420
every,417
call,412
near,412
heart,410
master,409
fire,408
stand,399
work,399
enter,398
Neb,397
own,394
since,393
gentleman,391
remain,391
why,381
draw,377
mean,376
side,375
however,374
five,373
arm,372
face,370
each,367
against,365
another,364
run,364
begin,363
already,362
evening,359
wait,359
during,359
continue,358
doubt,357
air,357
D’Artagnan,357
Rochester,356
Bonacieux,354
voice,354
king,353
animal,352
quite,350
mile,347
morning,345
end,344
hope,342
least,340
year,340
Treville,340
form,340
o'clock,340
set,340
hold,338
house,338
use,334
God,333
ever,333
House,331
_,331
minute,330
reporter,327
Jane,324
live,323
reach,320
mind,318
tree,316
Land,315
rather,314
Granite,314
fear,313
lose,312
besides,311
stop,310
Ayrton,309
nor,308
Lord,308
enough,308
letter,307
shore,306
horse,304
close,301
far,300
also,299
many,297
Miss,296
observe,296
large,294
new,294
M.,293
alone,290
Gideon,290
Felton,288
question,286
both,285
send,284
ah,284
Island,283
ship,281
high,281
hundred,281
throw,280
what,280
smile,278
rock,278
arrive,278
always,277
carry,276
toward,276
certain,274
indeed,273
almost,272
towards,272
vessel,272
less,270
monsieur,270
try,268
window,268
lady,267
low,267
twenty,266
step,266
lie,265
sit,265
dear,265
thus,264
world,262
add,262
longer,262
ten,261
round,260
queen,257
second,257
coast,257
poor,256
next,255
till,254
therefore,252
understand,250
old,249
surface,249
degree,247
Mrs.,246
wave,246
escape,246
talk,246
break,243
colonist,243
among,242
above,240
listen,240
several,239
fine,238
present,237
receive,236
watch,236
sort,234
meet,234
bed,232
die,232
six,231
show,230
wind,230
wife,229
sure,229
either,229
meter,228
nautilus,228
lead,227
approach,227
cover,227
walk,226
behind,226
full,226
land,225
dark,225
need,223
sometimes,223
black,223
Mme,223
whole,222
though,222
St.,222
idea,222
wall,222
clear,221
Lincoln,221
Canadian,220
forget,218
month,218
able,217
Planchet,215
John,215
cross,214
sight,214
exclaim,213
rest,213
wound,213
matter,213
sound,212
ready,212
allow,212
depth,211
necessary,211
table,211
sleep,210
strange,210
cold,209
course,208
change,207
true,207
ground,206
ocean,205
bear,205
boat,200
fish,199
whether,198
settler,196
distance,196
cause,195
eight,195
nature,195
wood,195
mouth,194
thousand,193
forest,193
along,192
care,191
road,191
thought,191
perceive,190
short,189
power,189
white,188
fact,188
sign,188
corral,188
dead,187
happen,187
strike,185
often,185
discover,185
people,184
’,184
bad,184
glass,183
offer,182
thank,182
remember,182
read,181
sword,180
small,180
suppose,180
possible,180
deep,180
death,179
stay,179
case,178
force,178
sun,178
help,178
certainly,177
silence,177
chamber,177
write,177
immediately,177
instant,176
move,176
iron,176
repeat,176
neither,175
seek,175
grow,174
expect,174
stranger,174
bird,173
visit,173
spot,173
eat,173
child,172
Buckingham,169
together,169
kill,168
pale,168
girl,167
around,166
Winter,166
promise,165
lip,164
Top,164
raise,163
body,162
within,162
length,161
disappear,161
easy,161
resume,160
person,158
tone,158
glance,157
stone,156
servant,156
strong,156
cut,155
secret,155
advance,155
sink,154
officer,154
home,154
reason,154
tear,154
speed,153
nearly,153
although,153
brother,152
guard,152
desire,152
board,151
line,151
lay,151
please,150
dress,150
chance,150
madame,149
belong,149
object,148
finish,148
feeling,148
conversation,148
single,148
serve,148
boy,148
blow,147
shoulder,147
honor,147
scarcely,145
creature,145
fill,145
really,144
rush,144
pleasure,144
country,144
impossible,143
kind,143
beautiful,143
fix,142
play,141
Majesty,141
spring,141
movement,141
pay,141
presence,141
wild,140
mountain,139
',139
quarter,139
piece,139
state,139
catch,139
produce,138
position,138
number,138
easily,138
fellow,137
until,137
book,137
host,137
seat,136
utter,136
laugh,136
result,136
direction,136
strength,136
contain,135
event,135
attempt,135
recognize,135
human,135
horizon,135
murmur,134
beneath,134
