text,sense,label,ind,new_label
"for a quarter of an hour , we continued to watch the craft bearing down on us . but it was inconceivable to me that it had discovered the nautilus at such a distance , still less that it knew what this underwater machine really was .","('quarter', 'quart', 'cuartar')",0,2,0
"a quarter of an hour afterwards , amidst an extraordinary turmoil of applause , sibyl vane stepped on to the stage . yes , she was certainly lovely to look at-- one of the loveliest creatures , lord henry thought , that he had ever seen . there was something of the fawn in her shy grace and startled eyes . a faint blush , like the shadow of a rose in a mirror of silver , came to her cheeks as she glanced at the crowded enthusiastic house . she stepped back a few paces and her lips seemed to tremble . basil hallward leaped to his feet and began to applaud . motionless , and as one in a dream , sat dorian gray , gazing at her . lord henry peered through his glasses , murmuring , "" charming ! charming ! ""","('quarter', 'quart', 'cuartar')",0,1,0
i retraced my steps . i walked for a quarter of an hour . i gazed into the darkness . i shouted . no reply : my voice was lost in the midst of the cavernous echoes which alone replied to my call .,"('quarter', 'quart', 'cuartar')",0,9,0
"in fact , at a distance of a quarter of a mile , leaning against the trunk of a gigantic kauri , stood a human being , the proteus of those subterranean regions , a new son of neptune , watching this countless herd of mastodons .","('quarter', 'quart', 'cuartar')",0,8,0
in another quarter of an hour our nimble heels had carried us beyond the reach of this horrible monster .,"('quarter', 'quart', 'cuartar')",0,2,0
"however , on his second sortie , on the 27th of november , gideon spilett , who had ventured a quarter of a mile into the woods , towards the south of the mountain , remarked that top scented something .","('quarter', 'quart', 'cuartar')",0,20,0
i listened still . i wanted to know if the noise would be repeated . a quarter of an hour passed away . silence reigned in this gallery . i could not hear even the beating of my heart .,"('quarter', 'quart', 'cuartar')",0,16,0
"the quarters of monsieur were at dompierre ; the quarters of the king were sometimes at estree , sometimes at jarrie ; the cardinal ’s quarters were upon the downs , at the bridge of la pierre , in a simple house without any entrenchment .","('quarter', 'logis', 'alojamiento')",1,1,1
"the quarters of monsieur were at dompierre ; the quarters of the king were sometimes at estree , sometimes at jarrie ; the cardinal ’s quarters were upon the downs , at the bridge of la pierre , in a simple house without any entrenchment .","('quarter', 'logis', 'alojamiento')",1,9,1
"the quarters of monsieur were at dompierre ; the quarters of the king were sometimes at estree , sometimes at jarrie ; the cardinal ’s quarters were upon the downs , at the bridge of la pierre , in a simple house without any entrenchment .","('quarter', 'logis', 'alojamiento')",1,25,1
"at the end of a quarter of an hour , however , surprised at the length of the journey , she leaned forward toward the door to see whither she was being conducted .","('quarter', 'quart', 'cuartar')",0,5,0
""" pardon me , monsieur , "" said d’artagnan , who had profited by the moment he had been left alone to put back m. de treville ’s clock three - quarters of an hour , "" but i thought , as it was yet only twenty - five minutes past nine , it was not too late to wait upon you . ""","('quarter', 'quart', 'cuarto')",2,31,2
""" be of good heart , planchet , you shall preserve your reputation as a veracious man . in a quarter of an hour we set off . ""","('quarter', 'quart', 'cuartar')",0,20,0
