text,sense,label,ind,new_label
"porthos left the service , and in the course of the following year married mme . coquenard ; the coffer so much coveted contained eight hundred thousand livres .","('porthos', 'portho', 'porthos')",0,0,0
"athos , whose acquaintance i made about that period , and porthos , who had in addition to my lessons taught me some effective tricks of fence , prevailed upon me to solicit the uniform of a musketeer .","('porthos', 'porthos', 'porthos')",1,11,1
""" and besides , it will be a chance for displaying our new equipments , "" said porthos .","('porthos', 'porthos', 'porthos')",1,17,1
""" we will remain in the background , "" said porthos , "" and he will advance alone . ""","('porthos', 'porthos', 'porthos')",1,10,1
""" he is right , "" said porthos ; "" battle . besides , we must try our own arms . ""","('porthos', 'porthos', 'porthos')",1,7,1
""" i am of aramis ’s opinion , "" said porthos .","('porthos', 'porthos', 'porthos')",1,10,1
""" well , "" said porthos , "" i will run to the hotel , and engage our comrades to hold themselves in readiness by eight o’clock ; the rendezvous , the place du palais - cardinal . meantime , you see that the lackeys saddle the horses . ""","('porthos', 'porthos', 'porthos')",1,5,1
"in fact , at the end of the rue vaugirard the gigantic porthos appeared .","('porthos', 'portho', 'porthos')",0,12,0
""" what ! "" cried d’artagnan , "" is your first witness monsieur porthos ? ""","('porthos', 'porthos', 'porthos')",1,13,1
""" doubtless ! are you not aware that we are never seen one without the others , and that we are called among the musketeers and the guards , at court and in the city , athos , porthos , and aramis , or the three inseparables ?","('porthos', 'porthos', 'porthos')",1,38,1
"in the meantime , porthos had come up , waved his hand to athos , and then turning toward d’artagnan , stood quite astonished .","('porthos', 'porthos', 'porthos')",1,4,1
""" why , it is with him i am also going to fight , "" said porthos .","('porthos', 'porthos', 'porthos')",1,16,1
"a quarter of an hour afterward porthos appeared at the end of the rue ferou on a very handsome genet . mousqueton followed him upon an auvergne horse , small but very handsome .","('porthos', 'porthos', 'porthos')",1,6,1
"at this word apologies , a cloud passed over the brow of athos , a haughty smile curled the lip of porthos , and a negative sign was the reply of aramis .","('porthos', 'porthos', 'porthos')",1,21,1
""" you do not understand me , gentlemen , "" said d’artagnan , throwing up his head , the sharp and bold lines of which were at the moment gilded by a bright ray of the sun . "" i asked to be excused in case i should not be able to discharge my debt to all three ; for monsieur athos has the right to kill me first , which must much diminish the face - value of your bill , monsieur porthos , and render yours almost null , monsieur aramis .","('porthos', 'porthos', 'porthos')",1,83,1
porthos was resplendent with joy and pride .,"('porthos', 'portho', 'porthos')",0,0,0
""" the devil ! "" cried aramis , "" you have a magnificent horse there , porthos . ""","('porthos', 'porthos', 'porthos')",1,16,1
"the blood had mounted to the head of d’artagnan , and at that moment he would have drawn his sword against all the musketeers in the kingdom as willingly as he now did against athos , porthos , and aramis .","('porthos', 'porthos', 'porthos')",1,36,1
